temperature,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,vcc,uptime,time
18.469074,-0.09918213,0.08392334,-0.08392334,0.00006104,-0.02325439,1.02099609,61.29340363,336.72421265,352.54394531,2,34668366,1487057433
18.460089,-0.06103516,-0.02288818,-0.03051758,-0.00128174,-0.02160645,1.02178955,64.79588318,336.72421265,355.91757202,2,34668398,1487057433
18.481056,0.02288818,0.04577637,-0.00762939,-0.00109863,-0.02191162,1.02197266,64.79588318,336.72421265,355.91757202,2,34668428,1487057433
18.493036,-0.08392334,-0.15258789,-0.02288818,-0.00103760,-0.02246094,1.02404785,64.79588318,336.72421265,355.91757202,2,34668457,1487057433
18.478060,0.06866455,0.03814697,-0.03814697,0.00061035,-0.02380371,1.02343750,64.79588318,336.72421265,355.91757202,2,34668486,1487057433
18.508013,-0.02288818,-0.06866455,0.09918213,-0.00146484,-0.02258301,1.02069092,64.79588318,336.72421265,355.91757202,2,34668515,1487057433
18.496031,-0.19836426,0.03051758,0.02288818,-0.00262451,-0.02081299,1.02221680,57.79092407,343.77603149,359.29119873,2,34668545,1487057433
18.478060,-0.09155273,-0.03051758,-0.00762939,-0.00274658,-0.02294922,1.02062988,57.79092407,343.77603149,359.29119873,2,34668575,1487057433
18.472071,-0.03051758,0.00000000,0.10681152,0.00103760,-0.02209473,1.02111816,57.79092407,343.77603149,359.29119873,2,34668604,1487057433
18.490042,-0.12207031,-0.16021729,-0.01525879,0.00018311,-0.02191162,1.02294922,57.79092407,343.77603149,359.29119873,2,34668633,1487057433
18.472071,-0.06103516,-0.03051758,-0.06103516,-0.00323486,-0.01965332,1.02276611,45.53224182,349.06491089,354.23077393,2,34668661,1487057433
18.472071,0.01525879,-0.00762939,-0.06866455,-0.00244141,-0.02258301,1.02191162,45.53224182,349.06491089,354.23077393,2,34668691,1487057433
18.481056,-0.02288818,-0.06103516,0.03051758,-0.00103760,-0.02111816,1.02099609,45.53224182,349.06491089,354.23077393,2,34668720,1487057433
18.475065,-0.01525879,0.01525879,-0.03814697,-0.00115967,-0.02264404,1.02239990,45.53224182,349.06491089,354.23077393,2,34668754,1487057433
18.478060,-0.06103516,-0.03051758,-0.03051758,-0.00042725,-0.02105713,1.02178955,54.28844452,343.77603149,332.30218506,2,34668785,1487057433
18.496031,-0.06103516,-0.00762939,-0.09155273,-0.00195312,-0.02185059,1.02038574,54.28844452,343.77603149,332.30218506,2,34668815,1487057433
18.457094,-0.03051758,-0.03814697,-0.00762939,-0.00018311,-0.02075195,1.02288818,54.28844452,343.77603149,332.30218506,2,34668845,1487057433
18.472071,-0.10681152,-0.02288818,-0.03051758,-0.00225830,-0.02130127,1.01959229,54.28844452,343.77603149,332.30218506,2,34668874,1487057433
18.490042,0.00762939,-0.00762939,-0.03051758,0.00024414,-0.02142334,1.02178955,47.28348160,354.35375977,342.42306519,2,34668905,1487057433
18.475065,-0.06103516,0.04577637,0.01525879,-0.00073242,-0.02044678,1.02423096,47.28348160,354.35375977,342.42306519,2,34668935,1487057433
18.499027,-0.03051758,-0.01525879,-0.03814697,-0.00018311,-0.02111816,1.02087402,47.28348160,354.35375977,342.42306519,2,34668964,1487057433
18.487045,-0.06866455,0.03051758,-0.03814697,-0.00073242,-0.02081299,1.01922607,47.28348160,354.35375977,342.42306519,2,34668992,1487057433
18.472071,-0.10681152,-0.03051758,-0.07629395,-0.00097656,-0.02166748,1.02020264,49.03472137,359.64263916,354.23077393,2,34669021,1487057433
18.487045,0.00000000,-0.01525879,-0.03051758,-0.00189209,-0.02020264,1.02075195,49.03472137,359.64263916,354.23077393,2,34669054,1487057434
18.469074,-0.06866455,-0.06103516,-0.00762939,-0.00195312,-0.02062988,1.02111816,49.03472137,359.64263916,354.23077393,2,34669083,1487057434
18.475065,0.02288818,-0.06103516,-0.02288818,-0.00115967,-0.02075195,1.02331543,49.03472137,359.64263916,354.23077393,2,34669113,1487057434
18.481056,0.04577637,-0.08392334,-0.02288818,0.00085449,-0.02197266,1.02081299,43.78100204,347.30194092,339.04943848,2,34669142,1487057434
18.481056,0.03814697,0.00000000,0.03051758,-0.00091553,-0.02105713,1.02075195,43.78100204,347.30194092,339.04943848,2,34669173,1487057434
18.469074,-0.09155273,-0.03051758,0.01525879,-0.00097656,-0.02026367,1.01593018,43.78100204,347.30194092,339.04943848,2,34669202,1487057434
18.484051,-0.08392334,-0.11444092,0.00762939,-0.00054932,-0.02062988,1.02014160,43.78100204,347.30194092,339.04943848,2,34669231,1487057434
18.481056,-0.10681152,0.07629395,-0.05340576,-0.00091553,-0.02111816,1.01983643,43.78100204,347.30194092,339.04943848,2,34669260,1487057434
18.499027,-0.15258789,-0.05340576,-0.03814697,-0.00134277,-0.02008057,1.02386475,49.03472137,352.59082031,347.48352051,2,34669289,1487057434
18.472071,-0.16021729,-0.06103516,0.02288818,-0.00073242,-0.02105713,1.02246094,49.03472137,352.59082031,347.48352051,2,34669319,1487057434
18.490042,-0.06866455,-0.03051758,0.08392334,-0.00128174,-0.02172852,1.02142334,49.03472137,352.59082031,347.48352051,2,34669348,1487057434
18.487045,-0.08392334,0.02288818,0.00000000,-0.00170898,-0.02056885,1.01855469,49.03472137,352.59082031,347.48352051,2,34669377,1487057434
18.481056,-0.00762939,-0.12207031,-0.07629395,-0.00299072,-0.02185059,1.02423096,54.28844452,357.87966919,355.91757202,2,34669406,1487057434
18.478060,0.00762939,-0.02288818,-0.08392334,-0.00128174,-0.02075195,1.01910400,54.28844452,357.87966919,355.91757202,2,34669436,1487057434
18.472071,-0.09155273,-0.02288818,0.02288818,-0.00152588,-0.02093506,1.02056885,54.28844452,357.87966919,355.91757202,2,34669471,1487057434
18.478060,-0.01525879,-0.03051758,0.06103516,-0.00073242,-0.02001953,1.02008057,54.28844452,357.87966919,355.91757202,2,34669502,1487057434
18.490042,0.00762939,-0.03814697,0.00762939,-0.00177002,-0.02227783,1.02307129,49.03472137,366.69445801,357.60440063,2,34669531,1487057434
18.490042,-0.08392334,-0.03814697,0.06103516,-0.00183105,-0.02130127,1.02185059,49.03472137,366.69445801,357.60440063,2,34669562,1487057434
18.469074,-0.08392334,-0.08392334,-0.06103516,-0.00140381,-0.02282715,1.02160645,49.03472137,366.69445801,357.60440063,2,34669591,1487057434
18.484051,-0.06866455,0.03814697,0.01525879,-0.00152588,-0.02313232,1.02136230,49.03472137,366.69445801,357.60440063,2,34669621,1487057434
